If in the range 0x8007xxxx then convert xxxx to decimal and run "net helpmsg decimal_code"

0x00000000	S_OK          	Operation successful
0x80004001	E_NOTIMPL     	Not implemented
0x80004002	E_NOINTERFACE 	No such interface supported
0x80004003	E_POINTER     	Pointer that is not valid
0x80004004	E_ABORT       	Operation aborted
0x80004005	E_FAIL        	Unspecified failure

0x8000FFFF	E_UNEXPECTED  	Unexpected failure

0x80070005	E_ACCESSDENIED	General access denied error
0x80070006	E_HANDLE      	Handle that is not valid
0x8007000E	E_OUTOFMEMORY 	Failed to allocate necessary memory
0x80070057	E_INVALIDARG  	One or more arguments are not valid

